fund_type,fund_style,asset_size,ranking_score,current_stocks,current_bonds,current_cash,ind_0,ind_1,ind_2,ind_3,ind_4,ind_5,ind_6,ind_7,ind_8,ind_9,ind_10,ind_11,ind_12,ind_13,ind_14,ind_15,ind_16,ind_17
混合型,大盘成长,"(9.03, 19.83]","(0.75, 1.0]",0.7859,0.0,0.24719999999999998,0.4203,0.0788,0.0779,0.08900000000000001,0.0547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
混合型,大盘成长,"(19.83, 186.94]","(0.0, 0.25]",0.8318000000000001,0.0341,0.1199,0.5522,0.0152,0.185,0.0516,0.0,0.0,0.0106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
混合型,大盘成长,"(19.83, 186.94]","(0.75, 1.0]",0.7868999999999999,0.0381,0.17739999999999997,0.5314,0.0,0.16,0.0208,0.0,0.0,0.0,0.0,0.0,0.0424,0.0,0.0323,0.0,0.0,0.0,0.0,0.0,0.0
混合型,大盘平衡,"(2.009, 4.665]","(0.5, 0.75]",0.8120999999999999,0.0,0.1759,0.3328,0.0,0.4307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048600000000000004,0.0,0.0,0.0,0.0,0.0,0.0
股票指数,大盘价值,"(2.009, 4.665]","(0.5, 0.75]",0.9254000000000001,0.0,0.0756,0.409,0.1954,0.0,0.046,0.0506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0674,0.0,0.0,0.0
股票指数,大盘平衡,"(19.83, 186.94]","(0.25, 0.5]",0.9305,0.0,0.0705,0.7062,0.0,0.0207,0.0,0.0,0.0,0.1085,0.0,0.0,0.0,0.0,0.0,0.038,0.0571,0.0,0.0,0.0,0.0
混合型,小盘平衡,"(9.03, 19.83]","(0.0, 0.25]",0.8464,0.053099999999999994,0.1379,0.595,0.021,0.12300000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0212
混合型,大盘成长,"(2.009, 4.665]","(0.5, 0.75]",0.8806,0.0,0.1322,0.5295000000000001,0.0,0.23850000000000002,0.0,0.0,0.0256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048600000000000004,0.0,0.0,0.0278,0.0
股票型,大盘价值,"(4.665, 9.03]","(0.75, 1.0]",0.9118,0.0659,0.0235,0.45520000000000005,0.2309,0.07519999999999999,0.0373,0.0213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
混合型,大盘成长,"(4.665, 9.03]","(0.5, 0.75]",0.9139,0.0001,0.0855,0.6434000000000001,0.0839,0.10220000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.012199999999999999,0.0,0.0,0.0,0.0482,0.0,0.0,0.0,0.0
混合型,大盘成长,"(4.665, 9.03]","(0.0, 0.25]",0.9240999999999999,0.0,0.0785,0.6182,0.0,0.2353,0.0,0.0,0.0,0.0,0.0,0.0,0.014499999999999999,0.0,0.0,0.0,0.055999999999999994,0.0,0.0,0.0,0.0
混合型,大盘成长,"(9.03, 19.83]","(0.75, 1.0]",0.8423,0.0374,0.1276,0.3379,0.0623,0.26239999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057300000000000004,0.0,0.0,0.0,0.0501,0.0
混合型,大盘成长,"(9.03, 19.83]","(0.75, 1.0]",0.7578,0.0591,0.2259,0.26289999999999997,0.0,0.3036,0.0,0.12539999999999998,0.0,0.0,0.0,0.0,0.0342,0.0,0.0317,0.0,0.0,0.0,0.0,0.0,0.0
混合型,大盘成长,"(2.009, 4.665]","(0.75, 1.0]",0.8975,0.0,0.11960000000000001,0.6776000000000001,0.0291,0.034300000000000004,0.10779999999999999,0.0481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
